"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__edited","messages__text__href","messages__forwarded_from","messages__photo","messages__width","messages__height","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__reply_to_message_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds"
"","","","","","","","","","bold","Чытаць цалкам (калі сайт не адчыняецца, выкарыстоўвайце vpn)","","","","","","","","","","","","","","","",""
"","","","","","","","","👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://cutt.ly/hfhTVmO","","","","","","","","","","","","","","","",""
"","","","2292","message","2020-08-29T11:30:21","Вясна / Правы чалавека ў Беларусі","9636739710","Сёння падчас шэсця ў Салігорску была затрымана шматдзетная маці ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Вольга Баброва.","","","","","","","","","","","","","","","",""
"","","","2293","message","2020-08-29T11:57:58","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Мінск. ","","","Euroradio","","310","640","","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","94"
"","","","","","","","","Тэлеграм-канал ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@motolkohelp","","","","","","","","","","","","","","","",""
"","","","","","","",""," апублікаваў відэа затрымання дзяўчыны. У дзень вялікага жаночага марша гэта ўпершыню.\n\nЗатрыманне адбылося на бульвары Шаўчэнкі — непадалёк ад Камароўскага рынка, дзе праходзіла калона жанчын. Па словах відавочцаў, дзяўчыну і яе хлопца сілавікі выцягнулі з тралейбуса №22.","","","","","","","","","","","","","","","","","",""
"","","","2294","message","2020-08-29T12:01:56","Вясна / Правы чалавека ў Беларусі","9636739710","❤️ Знайшоўся журналіст ""Белсата"" Аляксандр Любянчук. З ім усё добра, яго не затрымлівалі (удзельніцы пратэсту дапамаглі журналісту выйсці ў бяспечнае месца 🌸).\n\nСувязі са Змітром Міцкевічам дагэтуль няма.","","","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","2295","message","2020-08-29T17:55:18","Вясна / Правы чалавека ў Беларусі","9636739710","⚡️Затрыманых у тралейбусе №22 у Мінску завуць Аляксандр і Наталля Раентавы","","","2020-08-29T18:02:30","","","","","","","","","","","","","","",""
"","","","2296","message","2020-08-30T05:08:51","Вясна / Правы чалавека ў Беларусі","9636739710","29 жніўня адбыўся 10-тысячны Марш Жанчын. Нажаль і гэтым разам не абыйшлося без затрыманняў.\n\nПраваабарончаму цэнтру “Вясна” вядома як мінімум пра 11 затрыманых.\n\nСярод іх:\nАрлоў Аляксей\nТаболіч Ігар\nСаніковіч Сяргей\nТрафімчык Іван\nПерагуд Вадзім\nШалыгін Аляксандр\nРаентаў Аляксандр (брутальна выцягнуты АМАПам з тралейбуса №22) \nРаентава Наталля (брутальна выцягнутая АМАПам з тралейбуса №22)\nМірончанка Аляксандр\nЖібуль Дзмітрый\nВолошко Глеб\n\nТаксама былі затрыманыя журналіст Радыё Свабода Алесь Пілецкі і відэаператар Андрэй Рабчык, журналіст Белсату Зміцер Міцкевіч, журналіст DW Паўлюк Быкоўскі. Іх адвезлі ў Кастрычніцка РУУС, а паздней вызвалілі.\n\nПа афіцыйнай інфармацыі МУС было затрымана 29 чалавек.\n\n▶️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","http://spring96.org/be/news/99289","","","","","","","","","","","","","","","",""
"","","","2297","message","2020-08-30T07:00:31","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Минск","","","TUT.BY новости","","720","1280","","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22"
"","","","","","","","",". Стычка с силовиками на проспекте Независимости. Люди в черном забрали у протестующих длинный флаг и задержали минимум одного человека.","","","","","","","","","","","","","","","","","",""
"","","","2298","message","2020-08-30T07:16:11","Вясна / Правы чалавека ў Беларусі","9636739710","⚡️Каля ТЦ ""Сталіца"" прыблізна ў 14.00 затрыманы ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Андрэй Кляшторны","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","",""
"","","","2299","message","2020-08-30T07:28:12","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","❗️Кантакты праваабаронцаў на выпадак затрыманняў:\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","Калі вашых блізкіх затрымалі, паведамляйце нам на ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@ViasnaSOS","","","","","","","","","","","","","","","",""
"","","","","","","","",", ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@SOSviasna","","","","","","","","","","","","","","","",""
"","","","","","","",""," ці праз тэлеграм-бота ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@viasna_bot","","","","","","","","","","","","","","","",""
"","","","","","","",""," (у дадатковай інфармацыі пазначайце, калі ласка, дату затрымання, калі гэта адбылося НЕ сёння)\n👉👉👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Кантакты праваабаронцаў у рэгіёнах","","https://telegra.ph/Kontakty-pravozashchitnikov-v-Minske-i-regionah-08-14","","","","","","","","","","","","","",""
"","","","2300","message","2020-08-30T08:19:41","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","В Минске на проспекте Независимости продолжаются задержания мирных демонстрантов.\n","","","Naviny.by","","","","","","","","","","","","",""
"","","","","","","","","Корреспондент БелаПАН видел задержание более десятка мужчин. Задержанные не сопротивляются силовикам. Некоторые женщины пытаются отбить своих мужчин, в ответ силовики советуют им идти домой.\nДемонстранты начали движение в сторону улиц Ленина и Немиги. До этого тысячи участников «Марша мира и независимости» оказались заблокированы силовиками на участке от здания КГБ до перекрестка проспекта с улицей Ленина. По оценкам журналистов, там было около десятка тысяч человек.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Naviny.by","","https://t.me/naviny_by","","","","","","","","","","","","","",""
"","","","2301","message","2020-08-30T09:10:48","Вясна / Правы чалавека ў Беларусі","9636739710","Не менш за 10 чалавек затрымана ў ","","","2020-08-31T03:21:21","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Мінску","","","","","","","","","","","","","","","",""
"","","","","","","",""," на Маршы міра і незалежнасці: \n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Ахрэм Ягор\nЗапрудскі Ігар\nЗапрудскі Ігнат\nКляшторны Андрэй\nЛыскавец Яраслаў\nПрыгодзіч Станісаў\nПупко Васіль\nСупрановіч Сяргей\nТатур Уладзіслаў\nШыла Іван\nЯроменка Антон\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","У ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Пінску ","","","","","","","","","","","","","","","",""
"","","","","","","","","затрыманы карэспандэнт ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Яўген Нікалаевіч","","","","","","","","","","","","","","","",""
"","","","","","","","",". А таксама ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Віктар Антонік","","","","","","","","","","","","","","","",""
"","","","","","","",""," дастаўлены ў ГАМ гораду. \n\nУ ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Оршы","","","","","","","","","","","","","","","",""
"","","","","","","",""," затрыманыя як мінімум два чалавекі, адзін з іх - ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Аляксей Болдыраў","","","","","","","","","","","","","","","",""
"","","","","","","","",". \n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Збіраем інфармацыю","","https://cutt.ly/hfja9ZF","","","","","","","","","","","","","",""
"","","","","","","",""," пра затрыманных","","","","","","","","","","","","","","","","","",""
"","","","2302","message","2020-08-30T09:17:09","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","У Менску затрымалі карэспандэнта расейскага агенцтва ТАСС","","","Радыё Свабода — Беларусь","","","","","","","","","","","","",""
"","","","","","","","","\n\nКарэспандэнт ТАСС Іван Калыганаў у нядзелю прыбыў у Менск для асьвятленьня падзеяў у Беларусі, паведамляе агенцтва. Як вынікае з паведамленьня, якое прыйшло зь яго тэлефону, Калыганаў ужо дастаўлены ў Кастрычніцкі РУУС. 30 жніўня ён прыбыў у Менск і ўвесь час знаходзіўся ў сваім нумары ў гатэлі «Менск», на вуліцу не выходзіў.\n\nЯк адзначае расейскае інфармацыйнае агенцтва, на гэтым тыдні ўжо затрымлівалі трох карэспандэнтаў ТАСС, аднак пасьля праверкі дакумэнтаў адпускалі","","","","","","","","","","","","","","","","","",""
"","","","2303","message","2020-08-30T09:27:16","Вясна / Правы чалавека ў Беларусі","9636739710","У Мінску за дзве гадзiны акцыі пратэсту ў нядзелю затрымалі 125 чалавек, заявілі «РИА Новости» у МУС Беларусі.","","","","","Наша Нiва","","","","","","","","","","","","",""
"","","","2304","message","2020-08-30T09:49:37","Вясна / Правы чалавека ў Беларусі","9636739710","У ","","","2020-08-30T09:49:44","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Рэчыцы","","","","","","","","","","","","","","","",""
"","","","","","","",""," не абыйшлося без затрыманняў:\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Агафонаў Мікалай","","","","","","","","","","","","","","","",""
"","","","","","","",""," (Рух За Свабоду)\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Алмаеў Аляксандр\nЗмушко Аляксей","","","","","","","","","","","","","","","",""
"","","","","","","",""," (БХД)\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Шчучко Юрый\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","Пра кропкавыя затрыманні паведамляецца ў Магілёве і Гродне.","","","","","","","","","","","","","","","","","",""
"","","","2305","message","2020-08-30T09:53:34","Вясна / Правы чалавека ў Беларусі","9636739710","❗️","","","","","Белсат","","","","","","","","","","","","",""
"","","","","","","","","","bold","У Магілёве затрымалі нашую журналістку Аліну Скрабунову","","","","","","","","","","","","","","","",""
"","","","2306","message","2020-08-30T10:06:49","Вясна / Правы чалавека ў Беларусі","9636739710","👉 ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Аліна Скрабунова","","","","","","","","","","","","","","","",""
"","","","","","","",""," паведаміла праваабаронцу з Магілёва ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Барысу Бухелю","","","","","","","","","","","","","","","",""
"","","","","","","","",", што не была затрыманая.","","","","","","","","","","","","","","","","","",""
"","","","2307","message","2020-08-30T11:04:05","Вясна / Правы чалавека ў Беларусі","9636739710","⚡️У Магілёве затрымалі журналіста ","","","","","Белсат","(File not included. Change data exporting settings to download.)","1280","853","","","","","","","","","",""
"","","","","","","","","","link","6tv.by","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Алеся Сабалеўскага","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","",""
"","","","2308","message","2020-08-30T11:24:52","Вясна / Правы чалавека ў Беларусі","9636739710","У Гомелі затрымалі журналістку Ларысу Шчыракову","","","","","БАЖ / BAJ","","","","","","","","","","","","",""
"","","","2309","message","2020-08-30T11:53:45","Вясна / Правы чалавека ў Беларусі","9636739710","ПЦ ""Вясна"" вядома","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," больш за 70 прозвішчаў ","","","","","","","","","","","","","","","",""
"","","","","","","","","затрыманых у сталіцы і рэгіёнах краіны. \n\n👉 ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://cutt.ly/hfja9ZF","","","","","","","","","","","","","","","",""
"","","","2310","message","2020-08-30T13:48:58","Вясна / Правы чалавека ў Беларусі","9636739710","Па інфармацыі МУС на 18.00 колькасць затрыманых на акцыі пратэсту ў Мінску ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","дасягнула 140 чалавек","","","","","","","","","","","","","","","",""
"","","","","","","","",". \n\nУ нашым спісе ўжо сабрана ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","90 прозвішчаў","","","","","","","","","","","","","","","",""
"","","","","","","","",". Некаторых затрыманых адпусцілі, некаторых - ужо адвезлі ў Жодзінскае ІЧУ. \n\nСпіс на ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","нашым сайце","","https://cutt.ly/hfja9ZF","","","","","","","","","","","","","",""
"","","","2311","message","2020-08-30T16:00:19","Вясна / Правы чалавека ў Беларусі","9636739710","Магілёўскага журналіста ","","","","","Белсат","","","","","","","","","","","","",""
"","","","","","","","","","link","6tv.by","","","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Алеся Сабалеўскага","","","","","","","","","","","","","","","",""
"","","","","","","",""," так і не адпусцілі з Ленінскага РАУС. Пасля маршу затрымалі і іншага стрымера – ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Андрэя Бодзілева","","","","","","","","","","","","","","","",""
"","","","","","","",""," (канал «Свабодны беларус»). Яны абодва вялі стрымы з магілёўскага маршу і зараз іх вязуць у ІЧУ да суда.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","italic","Крыніца: Наш кор","","","","","","","","","","","","","","","",""
"","","","2312","message","2020-08-31T03:44:24","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","❗️ Управление госбезопасности задержало сопредседателя стачечного комитета «Беларуськалия» Анатолия Бокуна, он доставлен в РОВД.","","","Кулуары KYKY","","","","","","","","","","","","",""
"","","","2313","message","2020-08-31T06:10:39","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","""Вясна"" збірае і абнаўляе інфармацыю пра вынікі судовых пасяджэнняў над затрыманымі на мірных акцыях 28-30 жніўня.\n\n","2020-08-31T06:10:51","","","","","","","","","","","","","","",""
"","","","","","","","","👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Табліца рашэнняў тут","","","","","","","","","","","","","","","",""
"","","","","","","",""," (калі сайт не адчыняецца, выкарыстоўвайце vpn):👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://cutt.ly/yfkgUD5","","","","","","","","","","","","","","","",""
"","","","","","","","","\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","italic","Калі вам вядомы вынікі судоў па адміністрацыйных справах вашых блізкіх, вы можаце паведаміць іх нам на @ViasnaSOS і @SosViasna","","","","","","","","","","","","","","","",""
"","","","","","","",""," , ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","italic","і мы дададзім іх у табліцу.","","","","","","","","","","","","","","","",""
"","","","2314","message","2020-08-31T06:35:56","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Палітвязня Аляксандра Францкевіча ","","","","(File not included. Change data exporting settings to download.)","1023","575","","","","","","","","","",""
"","","","","","","","","","text_link","білі і катавалі","","https://spring96.org/be/news/99305","","","","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","электрашокерам у КДБ\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","Маці палітычнага зняволенага ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Аляксандра Францкевіча ","","","","","","","","","","","","","","","",""
"","","","","","","","","распавяла ""Вясне"", што ў дачыненні да яе сына ўжываліся катаванні. Гэтую інфармацыю яна даведалася ад чалавека, які знаходзіўся ў адной камеры з Аляксандрам у СІЗА-1.\n\nПаводле яе слоў, Аляксандра збівалі ў КДБ, білі электрашокерам у вобласць пахвіны, пры гэтым патрабавалі прызнаць віну. У прысутнасці яго таксама быў моцна збіты актывіст анархісцкага руху ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Акіхіра Ханада","","","","","","","","","","","","","","","",""
"","","","","","","","",", якога затрымалі разам з Францкевічам. Таксама супрацоўнікі КДБ пазней прыходзілі ў камеру, дзе сядзіць Аляксандр, і зноў праз пагрозы і запалохванні патрабавалі падпісаць прызнанне віны, чаго той не зрабіў.\n\nВядома, што Аляксандр і ягоны адвакат падалі скаргі на збіццё і катаванні.\n\nАляксандра Францкевіча затрымалі 13 жніўня. Яму прад'яўленае абвінавачванне па ч. 1 арт. 293 КК РБ – «Арганізацыя масавых беспарадкаў». 28 жніўня праваабарончая супольнасць Беларусі прызнала яго палітычным зняволеным.","","","","","","","","","","","","","","","","","",""
"","","","2315","message","2020-08-31T07:21:59","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","""Вясна"" працягвае збор і дакументаванне фактаў катаванняў у Беларусі\n\n","2020-08-31T07:22:27","","","","","","","","","","","","","","",""
"","","","","","","","","Праваабарончы цэнтр ""Вясна"" і Сусветная Арганізацыя супраць катаванняў ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","працягвае кампанію па дакументаванні выпадкаў катаванняў","","","","","","","","","","","","","","","",""
"","","","","","","","",", жорсткага, бесчалавечнага і зневажальнага абыходжання ў дачыненні да ўдзельнікаў пратэстаў.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","ШТО НАМІ ЎЖО ЗРОБЛЕНА?\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","✔️З дапамогай валанцёраў намі апытана і зафіксавана на ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","відэа больш за 500 ахвяраў катаванняў.\n","","","","","","","","","","","","","","","",""
"","","","","","","","","✔️З дапамогай міжнародных і беларускіх праваабарончых арганізацый ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","накіраваны зварот да спецдаклдачыка ААН","","","","","","","","","","","","","","","",""
"","","","","","","",""," па катаваннях і такім чынам запушчаныя спецыяльныя працэдуры ААН – камунікацыя спецдакладчыка ААН з прадстаўнікамі Урада Беларусі па праблеме выкарыстання катаванняў і іншых жорсткіх і бесчалавечных відаў абыходжання і па мерах, якія мусіць прадпрыняць улады Беларусі па іх раследванню.\n✔️Мы паўдзельнічалі ў падрыхтоўцы ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","звароту","","https://spring96.org/be/news/99260","","","","","","","","","","","","","",""
"","","","","","","",""," 16-ці міжнародных і беларускіх праваабарончых арганізацый у ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Савет па правах чалавека ААН","","","","","","","","","","","","","","","",""
"","","","","","","",""," з просьбай аб скліканні адмысловай сесіі па разглядзе сітуацыі з правамі чалавека ў Беларусі.\n✔️Таксама ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","звярнуліся","","https://spring96.org/be/news/99076","","","","","","","","","","","","","",""
"","","","","","","",""," да Генеральнага пракурора Рэспублікі Беларусь з патрабаваннямі ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","неадкладна распачаць крымінальную справу","","","","","","","","","","","","","","","",""
"","","","","","","",""," па фактах катаванняў у дачыненні да затырманых за ўдзел у дэманстрацых.\n✔️Намі аказвалася ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","юрыдычная дапамога па зваротах у СК","","","","","","","","","","","","","","","",""
"","","","","","","",""," аб узбуджэнні крымінальных справаў па фактах катаванняў.\n✔️Праз публікацыі на сайце і ў сацыяльных сетках надалі галоснасці дзесяткам сведчанняў людзей аб катаваннях, што дапамагло стварыць шырокі грамадскі рэзананс не толькі ў Беларусі, але і па-за межамі краіны.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","ШТО МЫ ЯШЧЭ РОБІМ?\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","▪️Мы ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","працягваем працу па дакументаванню фактаў катаванняў","","","","","","","","","","","","","","","",""
"","","","","","","",""," і апытанні людзей, якія сталі ахвярамі жорсткага і бесчалавечнага абыходжання з боку сілавых ведамстваў.\n▪️Супольна з групай адвакатаў працягваецца ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","падрыхтоўка зварота ў Камітэта супраць катаванняў ААН ","","","","","","","","","","","","","","","",""
"","","","","","","","","з просьбай аб пачатку працэдураў Камітэта,  прадугледжаных ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","арт. 20 Канвенцыі супраць катаванняў ААН","","https://www.un.org/ru/documents/decl_conv/conventions/torture.shtml","","","","","","","","","","","","","",""
"","","","","","","","",", удзельніцай якой з’яўляецца Беларусь.\n▪️Працягваецца адвакацыя сярод зацікаўленых бакоў па запуску г. зв. ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Маскоўскага механізма АБСЕ","","https://www.osce.org/ru/odihr/84451","","","","","","","","","","","","","",""
"","","","","","","",""," – прызначэнне дадзенай міжнароднай арганізацыяй адмысловага спецдакладчыка па даследванню фактаў парушэнняў правоў чалавека ў краіне ў выбарчы і пост-выбарчы перыяд, у тым ліку і фактаў выкарыстання катаванняў.\n▪️Працягваецца адвакацыя па ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","прыняцці санкцыйных мераў ЕС ","","","","","","","","","","","","","","","",""
"","","","","","","","","у дачыненні да службовых асобаў Рэспублікі Беларусь, непасрэдна адказных за выкарыстанне катаванняў і іншых жорсткіх відаў абыходжання.\n▪️Вядзецца падрыхтоўка адмысловага ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","дакладу па фактах выкарыстання катаванняў","","","","","","","","","","","","","","","",""
"","","","","","","",""," з мэтай ягонага прадстаўленння ў міжнародныя арганізацыі ў будучым.\n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","❗️Мы працягваем працу на дакументаванню фактаў катаванняў, і вы можаце звярнуцца да нас, каб расказаць сваю гісторыю: ","","","","","","","","","","","","","","","",""
"","","","","","","","","👉 ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://t.me/viasna96/2234","","","","","","","","","","","","","","","",""
"","","","2316","message","2020-08-31T08:28:52","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Афіцыйна: Тадэвуша Кандрусевіча не ўпусцілі ў Беларусь без тлумачэння прычынаў\n\n","","","Белсат","(File not included. Change data exporting settings to download.)","1200","800","","","","","","","","","",""
"","","","","","","","","Генеральны вікарый Менску Магілёўскай архідыяцэзіі біскуп ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Юрый Касабуцкі","","","","","","","","","","","","","","","",""
"","","","","","","",""," афіцыйна пацвердзіў, што 31 жніўня памежнікі адмовілі ва ўездзе ў краіну Мітрапаліту Менска-Магілёўскаму арцыбіскупу Тадэвушу Кандрусевічу.\n\nКандрусевіч вяртаўся з замежнай службовай паездкі. На памежным пераходзе Кузніца Беластоцкая – Брузгі беларускія памежнікі адмовілі яму ва ўездзе ў краіну без тлумачэння прычыны. Нагадаем, Тадэвуш Кандрусевіч з’яўляецца грамадзянінам Рэспублікі Беларусь.\n\nУ Дзяржаўным памежным камітэце Беларусі ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","сітуацыю не каментуюць","","https://t.me/belsat/16409","","","","","","","","","","","","","",""
"","","","","","","","",".\n\nКрыніца: ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Catholic.by","","https://catholic.by/3/news/belarus/12109-m-trapal-ta-m-nska-mag-ljo-skaga-artsyb-skupa-tadevusha-kandrusev-cha-ne-pusts-l-belarus","","","","","","","","","","","","","",""
"","","","2317","message","2020-08-31T08:57:30","Вясна / Правы чалавека ў Беларусі","9636739710","❗️Каля паўгадзіны таму была затрымана сябра Каардынацыйнага савета ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Лілія Уласава","","","","","","","","","","","","","","","",""
"","","","","","","","",". Затрыманне ажыццяўлялі супрацоўнікі Дэпартаменту фінансавых расследванняў. Адбыўся ператрус у яе доме. \n\nПаведамляе ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","тэлеграм-канал Паўла Латушкі.","","https://t.me/latushka/41","","","","","","","","","","","","","",""
"","","","2318","message","2020-08-31T09:00:33","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Бармэна Руслана аднаго з бараў на вуліцы Зыбіцкай Мінска затрымалі 13 жніўня ў дзве гадзіны ночы, калі ён вяртаўся з працы дадому. Наступныя трое сутак ён правёў на Акрэсціна. Руслан распавёў ""Вясне"", што адбывалася ў Цэнтры ізаляцыі правапарушальнікаў з 13 па 16 жніўня.\n\n","2020-08-31T09:01:08","","","","","","","","","","","","","","",""
"","","","","","","","","","italic","""Там была жанчына-фельчар, якая часам падыходзіла да людзей, якія ўжо ляжалі каля гадзіны без рухаў. Пры мне яна аднаго ўдарыла нагой, праверыла ці варушыцца ён. Калі фельчар убачыла, што ён дыхае, то яна на яго проста села і глядзела, як іншых хлопцаў збіваюць"".\n\n""Была сітуацыя, што аднаго хлопца званiтавала. Прыйшоў супрацоўнік у чорным, хутчэй за ўсё АМАПавец, прынёс два вядры з незразумелай субстанцыяй, якая дурна пахла. Адно ён выліў на гэтага хлопца, а другое вядро ўручыў яму ў рукі і сказаў: ""Ідзі прыбірай сваё"".\n\n""Перад тым, як нас адпусцілі, нас ставілі да сцяны, прасілі задзіраць майкі да шыі для агляду цела: чыстае, нячыстае. Я быў увесь чысценькі, было толькі пару пашкоджанняў на нагах. Іншых прасілі зняць штаны, мяне не прасілі. Пасля гэтага нас адводзілі ў бок, дзе зноў збівалі. То бок, калі ты чысценькі, ты праходзіў гэты ""абрад"". Супрацоўнікі АМАПа проста рандомные білі, куды патрапіла, ну, у асноўным, прылятала ў раён сцёгнаў і ягадзіц. Усё гэта суправаджалася крыкамі і пытаннямі: ""Дзе твая Ціханоўская?"", ""Будзеш яшчэ хадзіць?"", ""Раскажаш сваім сябрам?"". Прымушалі крычаць ""Я люблю АМАП"". Пасля гэтай працэдуры нас адпускалі і мы ішлі ўздоўж плота ў бок выхаду"".\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Чытаць цалкам (калі сайт не адчыняецца, выкарыстоўвайце vpn)","","","","","","","","","","","","","","","",""
"","","","","","","","","👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://cutt.ly/FfkRdfn","","","","","","","","","","","","","","","",""
"","","","2319","message","2020-08-31T10:12:34","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Фігуранта ""справы Ціханоўскага"" Вяргілія Ушака адправілі адбываць ""суткі"" за гродзенскі пікет 29 траўня.","","","","(File not included. Change data exporting settings to download.)","800","533","","","","","","","","","",""
"","","","","","","",""," \n\n","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Вяргілія Ушака","","","","","","","","","","","","","","","",""
"","","","","","","",""," затрымалі сёння на полацкім вакзале, адкуль ён з нявестай збіраўся ехаць у Мінск. Міліцыянты прад'явілі яму пастанову суда Ленінскага раёна Гродна, па якой яго асудзілі 2 ліпеня на 7 сутак арышту па двух артыкулах КаАП: 17.1 (дробнае хуліганства) і 23.4 (непадпарадкаванне міліцыянтам).\n\nСупрацоўнікі міліцыі сказалі, што 7 сутак Вяргілій будзе адбываць у Полацкім РАУСе.\n\nПры гэтым Вяргілій Ушак застаецца ў статусе абвінавачанага па арт. 342 Крымінальнага кодэкса па ""гарадзенскай справе"", якая звязана з падзеямі на тым самым пікеце 29 траўня. Ён два месяцы правёў у СІЗА і быў вызвалены напрыканцы ліпеня. \n👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://cutt.ly/ofkDbNi","","","","","","","","","","","","","","","",""
"","","","2320","message","2020-08-31T11:34:26","Вясна / Правы чалавека ў Беларусі","9636739710","❓","","","","","","","","","","","","","","","","","",""
